date,game,team,scorer,assist_1,assist_2,type,period_time,notes
2026-03-30,TOR@ANA,ANA,Carlsson,Terry,,ES,,Terry A1 Carlsson G1; chain overlap YES
2026-03-30,TOR@ANA,ANA,Carlsson,,,ES,,Carlsson tying G 4-4 on return from injury
2026-03-30,TOR@ANA,ANA,Gauthier,J.Carlson,,PP,,Gauthier PPG J.Carlson A1; J.Carlson+Gauthier YES
2026-03-30,TOR@ANA,ANA,J.Carlson,LaCombe,,SH,,J.Carlson SHG; LaCombe A
2026-03-30,TOR@ANA,TOR,Knies,OEL,Cowan,PP,P3,Knies PPG; OEL A1 Cowan A2 YES
2026-03-30,TOR@ANA,TOR,Nylander,Cowan,,ES,,Nylander breakaway; Cowan A
2026-03-30,TOR@ANA,TOR,Rielly,,,ES,,Rielly snap shot 4-3
2026-03-30,TOR@ANA,TOR,Tavares,Nylander,,PP,P1,Tavares PPG; OEL QB A1 Nylander A; OEL+Tavares chain YES
2026-03-30,TOR@ANA,TOR,Tavares,Rielly,,OT,OT,Tavares OT winner; Rielly A1 Tavares redirect YES
2026-03-30,VAN@VGK,VAN,Boeser,,,ES,,Boeser 2-2
2026-03-30,VAN@VGK,VAN,Kane,,,ES,,Kane 1000th game goal
2026-03-30,VAN@VGK,VGK,Andersson,Theodore,,ES,,Theodore A on Andersson G; chain overlap YES
2026-03-30,VAN@VGK,VGK,C.Smith,,,ES,,C.Smith 4-2 empty area
2026-03-30,VAN@VGK,VGK,R.Smith,McNabb,,ES,,R.Smith G McNabb A
2026-03-30,VAN@VGK,VGK,Theodore,Barbashev,,ES,,Barbashev A1 Theodore G; chain overlap YES
2026-03-31,CAR@CBJ,CAR,Gostisbehere,,,PP,P1 13:29,
2026-03-31,CAR@CBJ,CAR,Stankoven,Jankowski,,PP,P1 16:12,
2026-03-31,CAR@CBJ,CAR,Ehlers,,,ES,P3 12:42,
2026-03-31,CAR@CBJ,CAR,Svechnikov,Ehlers,,PP,P3 13:55,
2026-03-31,CAR@CBJ,CAR,Martinook,,,SH EN,P3 19:13,
2026-03-31,CAR@CBJ,CBJ,Marchenko,Marchment,,ES,P2 15:14,
2026-03-31,CAR@CBJ,CBJ,Fantilli,Marchment,,ES,P3 2:07,
2026-03-31,DAL@BOS,BOS,Khusnutdinov,Pastrnak,,ES,P1,
2026-03-31,DAL@BOS,BOS,Arvidsson,Pastrnak,Zacha,ES,P1 18:51,
2026-03-31,DAL@BOS,BOS,Lindholm,Pastrnak,McAvoy,PP,P3 0:13,
2026-03-31,DAL@BOS,BOS,Jokiharju,,,ES,P3 5:51,
2026-03-31,DAL@BOS,BOS,Arvidsson,,,EN,P3 16:23,
2026-03-31,DAL@BOS,BOS,Arvidsson,,,EN,P3,
2026-03-31,DAL@BOS,DAL,Benn,,,ES,P2 4:49,
2026-03-31,DAL@BOS,DAL,Duchene,Robertson,,ES,P2 16:53,
2026-03-31,DAL@BOS,DAL,Johnston,Heiskanen,,PP,P3 19:02,
2026-03-31,DET@PIT,DET,Larkin,Kane,,PP,P2 3:17,
2026-03-31,DET@PIT,PIT,Rakell,,,ES,P1 4:10,
2026-03-31,DET@PIT,PIT,Mantha,,,ES,P1 8:34,
2026-03-31,DET@PIT,PIT,Chinakhov,Letang,,ES,P1 18:02,
2026-03-31,DET@PIT,PIT,Brazeau,Clifton,,deflection,P2 12:23,
2026-03-31,DET@PIT,PIT,Acciari,,,ES,P3 12:09,
2026-03-31,EDM@SEA,EDM,McDavid,Bouchard,,PP,P1,
2026-03-31,EDM@SEA,EDM,(EDM G2),,,ES,,
2026-03-31,EDM@SEA,EDM,(EDM G3),,,ES,,
2026-03-31,MTL@TBL,MTL,Slafkovsky,Hutson,Struble,PP(5-on-3),P1 12:25,
2026-03-31,MTL@TBL,MTL,Matheson,Suzuki,Bolduc,ES,P2,
2026-03-31,MTL@TBL,MTL,Caufield,Slafkovsky,,ES,P2 ~9:00,
2026-03-31,MTL@TBL,MTL,Matheson,,,EN,P3 ~17:00,
2026-03-31,MTL@TBL,MTL,Suzuki,,,EN,P3 ~19:00,
2026-03-31,MTL@TBL,TBL,Guentzel,,,ES,P1 13:41,
2026-03-31,NJD@NYR,NJD,Brown,L.Hughes,Hischier,ES,,
2026-03-31,NJD@NYR,NYR,Zibanejad,Perreault,Fox,ES,,
2026-03-31,NJD@NYR,NYR,Miller,Fox,Lafreniere,ES,,
2026-03-31,NJD@NYR,NYR,Chmelar,Schneider,,ES,,
2026-03-31,NJD@NYR,NYR,Sheary,Kartye,,ES,,
2026-03-31,NYI@BUF,BUF,Krebs,Tuch,,ES,P3 ~16:57,
2026-03-31,NYI@BUF,BUF,Byram,,,EN,P3 EN,
2026-03-31,NYI@BUF,BUF,Quinn,Thompson,,ES,,
2026-03-31,NYI@BUF,NYI,Schenn,,,ES,,
2026-03-31,NYI@BUF,NYI,Ritchie,,,ES,,
2026-03-31,NYI@BUF,NYI,Lee,Horvat,,ES,,
2026-03-31,OTT@FLA,FLA,Gregor,,,ES,P1 0:08,
2026-03-31,OTT@FLA,FLA,Tkachuk,Bennett,Ekblad,PP,P1,
2026-03-31,OTT@FLA,FLA,Bennett,Ekblad,,PP,,
2026-03-31,OTT@FLA,FLA,Verhaeghe,Bennett,,ES,,
2026-03-31,OTT@FLA,OTT,Stutzle,Batherson,,ES,,
2026-03-31,PHI@WSH,PHI,Sanheim,Konecny,,4-on-4,P2 0:39,
2026-03-31,PHI@WSH,PHI,Grundstrom,,,ES,P2,
2026-03-31,PHI@WSH,PHI,Dvorak,Martone,Sanheim,ES,P3 0:33,
2026-03-31,PHI@WSH,PHI,Barkey,Ristolainen,,deflection,P3,
2026-03-31,PHI@WSH,WSH,Wilson,,,ES,P1,
2026-03-31,PHI@WSH,WSH,Ovechkin,Roy,,ES,P1,
2026-03-31,PHI@WSH,WSH,Chychrun,,,ES,P2,
2026-03-31,PHI@WSH,WSH,Leonard,Chychrun,,PP,P2,
2026-03-31,PHI@WSH,WSH,Ovechkin,McMichael,,ES,P3,
2026-03-31,PHI@WSH,WSH,Wilson,,,EN,P3,
2026-03-31,WPG@CHI,WPG,Connor,,,ES,,
2026-03-31,WPG@CHI,WPG,Scheifele,Morrissey,,ES/PP,,
2026-04-01,ANA@SJS,ANA,Poehling,Helleson,,ES,P1 17:47,
2026-04-01,ANA@SJS,ANA,Killorn,Helleson,LaCombe,ES,P2 14:59,
2026-04-01,ANA@SJS,ANA,Terry,,,ES,P3 4:04,
2026-04-01,ANA@SJS,SJS,W.Smith,Celebrini,,PP,P1 4:37,
2026-04-01,ANA@SJS,SJS,Celebrini,W.Smith,Graf,ES,P3 0:27,
2026-04-01,ANA@SJS,SJS,Celebrini,Orlov,W.Smith,EN/EA,P3 18:21,
2026-04-01,ANA@SJS,SJS,Wennberg,Celebrini,Dickinson,ES,P3 19:29,
2026-04-01,STL@LAK,LAK,Moore,Kopitar,Doughty,ES,OT 3:04,
2026-04-01,STL@LAK,LAK,Kempe,Laferriere,Panarin,PP,P2 16:59,
2026-04-01,STL@LAK,STL,R.Thomas,Broberg,Holloway,ES,P3 16:07,
2026-04-01,VAN@COL,COL,MacKinnon,Toews,Malinski,ES,P1 1:22,
2026-04-01,VAN@COL,COL,Landeskog,Burns,Nichushkin,ES,P1 16:05,
2026-04-01,VAN@COL,COL,Malinski,Toews,,ES,P2 15:43,
2026-04-01,VAN@COL,COL,Kelly,Drury,Manson,ES,P3 0:14,
2026-04-01,VAN@COL,COL,Burns,Nelson,Nichushkin,ES,P3 13:21,
2026-04-01,VAN@COL,COL,Malinski,,,ES,P3 13:58,
2026-04-01,VAN@COL,VAN,Sasson,Hronek,Buium,ES,P1 0:29,
2026-04-01,VAN@COL,VAN,Blueger,Ohgren,,SH,P1 5:21,
2026-04-01,VAN@COL,VAN,DeBrusk,E.Pettersson,Rossi,PP,P1 11:38,
2026-04-01,VAN@COL,VAN,Blueger,Sasson,M.Pettersson,ES,P2 5:02,
2026-04-01,VAN@COL,VAN,Boeser,Willander,Rossi,ES,P2 9:42,
2026-04-01,VAN@COL,VAN,Boeser,O'Connor,,ES,P2 15:21,
2026-04-01,VAN@COL,VAN,M.Pettersson,Boeser,O'Connor,ES,P3 14:21,
2026-04-01,VAN@COL,VAN,Boeser,M.Pettersson,,EN,P3 18:31,
2026-04-02,NSH@LAK,LAK,Kempe,Panarin,,ES,P2,Panarin A1 on Kempe G1; chain overlap
2026-04-02,NSH@LAK,LAK,Kempe,Edmundson,Kopitar,ES,P2,Kopitar A2 on Kempe G2; Kempe+Kopitar chain WIN
2026-04-02,NSH@LAK,LAK,Laughton,Armia,Anderson,ES,P2,
2026-04-02,NSH@LAK,LAK,Armia,Wright,Dumoulin,ES,P3,
2026-04-02,NSH@LAK,NSH,Forsberg,Marchessault,Haula,ES,P1,
2026-04-02,NSH@LAK,NSH,L'Heureux,Skjei,,ES,P1,
2026-04-02,NSH@LAK,NSH,Marchessault,Wood,Barron,ES,P2,
2026-04-02,NSH@LAK,NSH,Stamkos,O'Reilly,Josi,ES,P2,
2026-04-02,NSH@LAK,NSH,Evangelista,,,SO,SO,SO winner; NSH win
2026-04-02,TOR@SJS,SJS,Ostapchuk,Goodrow,Orlov,ES,P1,
2026-04-02,TOR@SJS,SJS,Graf,Misa,Toffoli,ES,P1,
2026-04-02,TOR@SJS,SJS,Eklund,Wennberg,Sherwood,ES,P2,
2026-04-02,TOR@SJS,SJS,Gaudette,Eklund,Ostapchuk,EN,P3,
2026-04-02,TOR@SJS,TOR,Tavares,Cowan,Nylander,PP,P2,
2026-04-03,STL@ANA,ANA,Poehling,McTavish,Zellweger,ES,P1,
2026-04-03,STL@ANA,ANA,Viel,Poehling,Helleson,ES,P1,
2026-04-03,STL@ANA,STL,R.Thomas,Broberg,Parayko,ES,P1,Broberg→Thomas D-QB chain; Thomas 1G+2A total
2026-04-03,STL@ANA,STL,Holloway,Neighbours,Thomas,PP,P1,Thomas+Holloway chain; Holloway G1 Thomas A1
2026-04-03,STL@ANA,STL,Berggren,Suter,,ES,P1,
2026-04-03,STL@ANA,STL,Suter,Tucker,Neighbours,ES,P2,
2026-04-03,STL@ANA,STL,Parayko,Dvorsky,Kyrou,ES,P2,
2026-04-03,STL@ANA,STL,Holloway,Thomas,Broberg,PP,P3,Thomas+Holloway chain #2; Holloway G2 Thomas A2; Broberg D-QB A2
2026-04-04,CGY@ANA,ANA,Sennecke,LaCombe,Trouba,ES,P1,LaCombe A1 on Sennecke G; chain overlap WIN
2026-04-04,CGY@ANA,ANA,Carlsson,,,ES,P3,Carlsson 1G; cleared 2-game cold flag
2026-04-04,CGY@ANA,ANA,McTavish,Killorn,,PP,P3,
2026-04-04,CGY@ANA,CGY,Farabee,Gridin,Bahl,ES,P1,
2026-04-04,CGY@ANA,CGY,Strome,Pospisil,Olofsson,ES,P2,
2026-04-04,CGY@ANA,CGY,Gridin,Farabee,Brzustewicz,ES,P2,
2026-04-04,CGY@ANA,CGY,Frost,Määttä,Coleman,ES,P2,
2026-04-04,CGY@ANA,CGY,Frost,Coronato,,EN,P3,
2026-04-04,NSH@SJS,NSH,Forsberg,Marchessault,Josi,PP,P1,
2026-04-04,NSH@SJS,NSH,Forsberg,Wood,Wilsby,ES,P1,
2026-04-04,NSH@SJS,NSH,Stamkos,Forsberg,Josi,PP,P1,
2026-04-04,NSH@SJS,NSH,O'Reilly,Evangelista,Jost,ES,P3,
2026-04-04,NSH@SJS,NSH,Haula,Jost,,SH,P3,
2026-04-04,NSH@SJS,NSH,Jost,O'Reilly,Wilsby,EN,P3,
2026-04-04,NSH@SJS,SJS,Leddy,Eklund,,ES,P2,
2026-04-04,NSH@SJS,SJS,Celebrini,Graf,Leddy,ES,P2,Celebrini 1G; cleared 1-game cold watch
2026-04-04,NSH@SJS,SJS,Wennberg,Orlov,,ES,P3,Orlov A1 on Wennberg G; Orlov still contributing
2026-04-04,TOR@LAK,LAK,Byfield,Panarin,Kempe,OT,OT,Byfield OT GWG; Panarin A1 Kempe A2; Kempe 4th pt; Panarin+Kempe chain #3
2026-04-04,TOR@LAK,LAK,Byfield,Wright,Moore,ES,P2,
2026-04-04,TOR@LAK,LAK,Kempe,Anderson,,ES,P2,
2026-04-04,TOR@LAK,LAK,Panarin,Clarke,Kempe,ES,P2,Clarke A1+Kempe A2 on Panarin G; Panarin+Kempe+Clarke triple chain
2026-04-04,TOR@LAK,LAK,Kempe,Panarin,Edmundson,ES,P3,Kempe hat trick G3; Panarin A1; Kempe+Panarin chain #2
2026-04-04,TOR@LAK,LAK,Helenius,Ward,Ceci,ES,P3,
2026-04-04,TOR@LAK,LAK,Laferriere,Moore,,ES,P3,
2026-04-04,TOR@LAK,TOR,Knies,Domi,,ES,P1,
2026-04-04,TOR@LAK,TOR,Lorentz,,,SH,P1,
2026-04-04,TOR@LAK,TOR,Tavares,Nylander,Knies,PP,P2,
2026-04-04,TOR@LAK,TOR,Cowan,Tavares,Knies,PP,P2,
2026-04-04,TOR@LAK,TOR,Robertson,Joshua,,ES,P3,
2026-04-04,TOR@LAK,TOR,Knies,Tavares,Maccelli,ES,P3,
2026-04-05,STL@COL,COL,Kelly,Burns,O'Connor,ES,P1,
2026-04-05,STL@COL,COL,Burns,Blankenburg,Nelson,ES,P2,
2026-04-05,STL@COL,STL,R.Thomas,Snuggerud,Holloway,ES,P1,Thomas hat trick G1; Thomas+Holloway chain #1
2026-04-05,STL@COL,STL,R.Thomas,Holloway,Snuggerud,ES,P2,Thomas hat trick G2; Thomas+Holloway chain #2
2026-04-05,STL@COL,STL,R.Thomas,Snuggerud,Holloway,ES,P3,Thomas hat trick G3; Thomas+Holloway chain #3
2026-04-06,CHI@SJS,CHI,Donato,Nazar,Bedard,ES,P1,
2026-04-06,CHI@SJS,CHI,Nazar,Teravainen,Frondell,PP,P3,
2026-04-06,CHI@SJS,SJS,Eklund,,,ES,P2,
2026-04-06,CHI@SJS,SJS,Sherwood,Eklund,Wennberg,ES,P2,
2026-04-06,CHI@SJS,SJS,W.Smith,Graf,Celebrini,ES,P3,W.Smith 1G clears 2-game cold flag; Celebrini A2; Celebrini+W.Smith chain overlap
2026-04-06,NSH@LAK,LAK,(LAK win SO),,,SO,SO,LAK win SO; full individual chains not extracted
